"mice_ID","exp_cond","deprivation_duration","estrous_stage","state_before","retrieval_before_latency","state_before_comment","1h_food_consumption_before","state_after","state_after_latency","parental_state_after","retrieval_after_latency","state_after_comment","1h_food_consumption_after","target_before","target_before_latency","target_2_before","target","target_after","target_after_latency","target_2_after","exp_time","prev_exp","exp_date"
"BRAC5048.5e","food_deprivation",332,"P","Parental+",254,"retrieve both pups",0.1,"Agg+",306,,,,0.7,,,,"maze",,,,1,,"14/01/21"
"BRAC5081.3c","food_deprivation",332,"M","Parental-",,,0,"Agg+",429,,,,0.7,,,,"maze",,,,1,,"14/01/21"
"BRAC5081.3e","food_deprivation",344,"P","Parental-",,,0.1,"Agg+",56,,,,0.6,,,,"maze",,,,1,,"14/01/21"
"BRAC5081.3d","food_deprivation",344,"E","Parental-",,"retrieve both but not parental",,"Agg+",73,,,,0.8,,,,"maze",,,,1,,"14/01/21"
"BRAC5018.4d","food_deprivation",,"P","Parental-",,,0,"Agg-",,"Parental+",,"build a nest around the pups",0.8,,,,"maze",,,,1,,"19/01/21"
"BRAC5048.5d","food_deprivation",,"E","Parental-",,,0.2,"Agg-",,"Parental-",,,0.6,,,,"maze",,,,1,,"19/01/21"
"BRAC5048.5c","food_deprivation",,"D","Parental+",,"build a nest around the pups",0,"Agg-",,"Parental+",,"build a nest around the pups (a bit late onset)",0.4,,,,"maze",,,,1,,"19/01/21"
"BRAC5018.4e","food_deprivation",,"D","Parental-",,"retrieve one pup but not parental",0.1,"Agg-",,"Parental+",365,"retrieve both pups",0.4,,,,"maze",,,,1,,"19/01/21"
"BRAC5204.2i","food_deprivation",,"M","Parental+",15,"retrieve both pups",0.1,"Agg-",,"Parental+",8,"retrieve both pups",0.7,,,,"pup",,,,2,"food_deprivation(4)","16/01/21"
"BRAC5266.1g","food_deprivation",,"M","Parental+",139,"retrieve both pups",0.1,"Agg-",,"Parental+",505,"retrieve both pups",0.5,,,,"pup",,,,2,"food_deprivation(4)","16/01/21"
"BRAC5266.1f","food_deprivation",,"D","Parental+",,"build a nest around the pups",0,"Agg-",,"Parental+",,"build a nest around pups",0.2,,,,"pup",,,,2,"food_deprivation(4)","16/01/21"
"BRAC5204.2j","food_deprivation",,"P","Parental+",220,"retrieve both pups",0.1,"Agg-",,"Parental+",282,"retrieve both pups",0.6,,,,"pup",,,,2,"food_deprivation(4)","16/01/21"
"BRAC5195.3c","food_deprivation",,"D","Parental-",,"attempt to make a nest but not enough parenting time",0.1,"Agg-",,"Parental-",,,0.5,,,,"pup",,,,2,"food_deprivation(4)","17/01/21"
"BRAC5195.3e","food_deprivation",,"E","Parental-",,"attempt to make a nest but not enough parenting time",0.1,"Agg-",,"Parental+",,"build a nest around the pups",0.1,,,,"pup",,,,2,"food_deprivation(4)","17/01/21"
"BRAC5195.3d","food_deprivation",,"P","Parental+",168,"retrieve both pups",0.2,"Agg-",,"Parental+",140,"retrieve both pups",0.3,,,,"pup",,,,2,"food_deprivation(4)","17/01/21"
"BRAC5204.2h","food_deprivation",,"M","Parental+",248,"retrieve both pups",0,"Agg-",,"Parental+",293,"retrieve both pups",0.6,,,,"pup",,,,2,"food_deprivation(4)","17/01/21"
"BRAC5048.5e","food_deprivation",,"P","Parental+",,"build a nest around the pups",0.2,"Agg-",,"Parental+",136,"retrieve both pups",0.3,,,,"pup",,,,2,"food_deprivation(4)","18/01/21"
"BRAC5081.3c","food_deprivation",,"M","Parental-",,"attempt to make a nest but not enough parenting time",0,"Agg-",,"Parental+",,"build a nest around only one pup",0.2,,,,"pup",,,,2,"food_deprivation(4)","18/01/21"
"BRAC5081.3e","food_deprivation",,"P","Parental+",185,"retrieve both pups",0.1,"Agg+",162,,,,0.5,,,,"pup",,,,2,"food_deprivation(4)","18/01/21"
"BRAC5081.3d","food_deprivation",,"D","Parental+",111,"retrieve both pups",0.2,"Agg+",65,,,,0.5,,,,"pup",,,,2,"food_deprivation(4)","18/01/21"
"BRAC5204.2i","food_deprivation",,"P","Parental+",55,"retrieve both pups",0.1,"Agg-",,"Parental+",19,"retrieve both pups",0.7,,,,"pup",,,,3,"food_deprivation(4)","20/01/21"
"BRAC5204.2j","food_deprivation",,"E","Parental+",481,"retrieve both pups",0.3,"Agg-",,"Parental-",,"mouse confused, tried to build a test but too little parenting time",0.4,,,,"pup",,,,3,"food_deprivation(4)","20/01/21"
"BRAC5266.1f","food_deprivation",,"E","Parental+",,"build a nest around the pups",0,"Agg-",,"Parental+",304,"retrieve both pups",0.4,,,,"pup",,,,3,"food_deprivation(4)","20/01/21"
"BRAC5266.1g","food_deprivation",,"M","Parental+",363,"retrieve both pups",0.1,"Agg-",,"Parental+",418,"retrieve both pups",0.6,,,,"pup",,,,3,"food_deprivation(4)","20/01/21"
"BRAC5195.3e","food_deprivation",,"M","Parental+",209,"retrieve both pups",0,"Agg-",,"Parental+",13,"retrieve both pups",0.3,,,,"pup",,,,3,"food_deprivation(4)","21/01/21"
"BRAC5195.3c","food_deprivation",,"M","Parental+",575,"retrieve both pups",0.2,"Agg-",,"Parental+",358,"retrieve both pups",0.1,,,,"pup",,,,3,"food_deprivation(4)","21/01/21"
"BRAC5195.3d","food_deprivation",,"P","Parental+",35,"retrieve both pups",0.2,"Agg-",,"Parental+",104,"retrieve both pups",0.3,,,,"pup",,,,3,"food_deprivation(4)","21/01/21"
"BRAC5204.2h","food_deprivation",,"P","Parental+",148,"retrieve both pups",0.4,"Agg-",,"Parental+",84,"retrieve both pups",0.6,,,,"pup",,,,3,"food_deprivation(4)","21/01/21"
"BRAC5081.3e","food_deprivation",,"P","Parental+",116,"retrieve both pups, one pup run out of the next later",0.2,"Agg+",259,,,,0.9,,,,"pup",,,,3,"food_deprivation(4)","22/01/21"
"BRAC5081.3c","food_deprivation",,"P","Parental+",,"build a nest around the pups",0.1,"Agg-",,"Parental+",,"build a nest around the pups",0.8,,,,"pup",,,,3,"food_deprivation(4)","22/01/21"
"BRAC5048.5e","food_deprivation",,"P","Parental+",47,"retrieve both pups",0.3,"Agg-",,"Parental+",13,"retrieve both pups",1,,,,"pup",,,,3,"food_deprivation(4)","22/01/21"
"BRAC5081.3d","food_deprivation",,"P","Parental+",128,"retrieve both pups",0.2,"Agg-",,"Parental+",,"build a nest around the pups really late but a lot of grooming",1,,,,"pup",,,,3,"food_deprivation(4)","22/01/21"
"BRAC5048.5c","food_deprivation",,"E","Parental+",26,"retrieve both pups",0.1,"Agg-",,"Parental+",46,"retrieve both pups",0.1,,,,"pup",,,,2,"food_deprivation(4)","23/01/21"
"BRAC5018.4e","food_deprivation",,"M","Parental+",391,"retrieve both pups",0.1,"Agg-",,"Parental+",129,"retrieve both pups",0.5,,,,"pup",,,,2,"food_deprivation(4)","23/01/21"
"BRAC5018.4d","food_deprivation",,"P","Parental+",91,"retrieve both pups",0.1,"Agg-",,"Parental+",19,"retrieve both pups",0.6,,,,"pup",,,,2,"food_deprivation(4)","23/01/21"
"BRAC5048.5d","food_deprivation",,"P","Parental+",,"build a nest around the pups (late onset), spent some time messing around",0.2,"Agg-",,"Parental+",,"build a nest around the pups",0.6,,,,"pup",,,,2,"food_deprivation(4)","23/01/21"
"BRAC5204.2i","food_deprivation",,"D","Parental-",,,0.3,"Agg-",,"Parental+",,"build a nest around the pups (late onset)",0.6,,,,"pup",,,,4,"food_deprivation(4)","24/01/21"
"BRAC5204.2j","food_deprivation",,"E","Parental+",94,"retrieve both pups",0.1,"Agg-",,"Parental+",20,"retrieve both pups",0.5,,,,"pup",,,,4,"food_deprivation(4)","24/01/21"
"BRAC5266.1f","food_deprivation",,"E","Parental+",,"build a nest around the pups",0.1,"Agg-",,"Parental+",,"build a nest around one pup and retrieve the left out",0.3,,,,"pup",,,,4,"food_deprivation(4)","24/01/21"
"BRAC5266.1g","food_deprivation",,"E","Parental+",106,"retrieve both pups",0.2,"Agg-",,"Parental+",141,"retrieve both pups",0.6,,,,"pup",,,,4,"food_deprivation(4)","24/01/21"
"BRAC5195.3e","food_deprivation",,"M","Parental+",13,"retrieve both pups",0.2,"Agg-",,"Parental+",31,"retrieve both pups",0.4,,,,"pup",,,,4,"food_deprivation(4)","25/01/21"
"BRAC5195.3c","food_deprivation",,"D","Parental+",471,"retrieve both pups",0.1,"Agg-",,"Parental+",178,"retrieve both pups",0.3,,,,"pup",,,,4,"food_deprivation(4)","25/01/21"
"BRAC5204.2h","food_deprivation",,"D","Parental+",187,"retrieve both pups",0.4,"Agg-",,"Parental+",33,"retrieve both pups",0.6,,,,"pup",,,,4,"food_deprivation(4)","25/01/21"
"BRAC5195.3d","food_deprivation",,"P","Parental+",180,"retrieve both pups",0.3,"Agg-",,"Parental+",71,"retrieve both pups",0.3,,,,"pup",,,,4,"food_deprivation(4)","25/01/21"
"BRAC5081.3e","food_deprivation",,"P","Parental+",265,"retrieve both pups",0.5,"Agg-",,"Parental+",642,"retrieve one pup, parental program starts really late",0.4,,,,"pup",,,,4,"food_deprivation(4)","26/01/21"
"BRAC5081.3d","food_deprivation",,"D","Parental-",,"some nesting behaviour but not enough time with the pups",0.6,"Agg-",,"Parental+",,"build a nest around the pups(tiny late onset)",0.8,,,,"pup",,,,4,"food_deprivation(4)","26/01/21"
"BRAC5081.3c","food_deprivation",,"P","Parental+",,"build a nest around the pups",0.3,"Agg-",,"Parental+",,"build a nest around the pups",0.5,,,,"pup",,,,4,"food_deprivation(4)","26/01/21"
"BRAC5048.5e","food_deprivation",,"D","Parental+",35,"retrieve both pups",0.4,"Agg-",,"Parental+",17,"retrieve both pups",0.7,,,,"pup",,,,4,"food_deprivation(4)","26/01/21"
"BRAC5048.5c","food_deprivation",,"D","Parental+",8,"retrieve both pups",0.1,"Agg-",,"Parental+",141,"retrieve both pups",0.2,,,,"pup",,,,3,"food_deprivation(5)","28/01/21"
"BRAC5018.4e","food_deprivation",,"M","Parental+",140,"retrieve both pups",0.3,"Agg-",,"Parental+",89,"retrieve both pups",0.4,,,,"pup",,,,3,"food_deprivation(5)","28/01/21"
"BRAC5018.4d","food_deprivation",,"E","Parental+",126,"retrieve both pups",0.1,"Agg-",,"Parental+",335,"retrieve both pups",0.4,,,,"pup",,,,3,"food_deprivation(5)","28/01/21"
"BRAC5048.5d","food_deprivation",,"P","Parental+",,"build a nest around the pups (late onset)",0.3,"Agg-",,"Parental+",,"build a nest around only one pup",0.3,,,,"pup",,,,3,"food_deprivation(5)","28/01/21"
"BRAC5048.5c","food_deprivation",,,"Parental+",15,"retrieve both pups",,"Agg-",,"Parental+",6,"retrieve both pups",0.3,,,,"pup",,,,4,"food_deprivation(4)","01/02/21"
"BRAC5018.4e","food_deprivation",,,"Parental+",98,"retrieve both pups",,"Agg-",,"Parental+",46,"retrieve both pups",0.3,,,,"pup",,,,4,"food_deprivation(4)","01/02/21"
"BRAC5018.4d","food_deprivation",,,"Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",593,"retrieve both pups",0.6,,,,"pup",,,,4,"food_deprivation(4)","01/02/21"
"BRAC5048.5d","food_deprivation",,,"Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",,"build a nest around the pups",0.5,,,,"pup",,,,4,"food_deprivation(4)","01/02/21"
"BRAC5066.7c","food_deprivation",324,,,,,,,,,,,,,,,"elisa",,,,,,
"BRA5066.7b","food_deprivation",317,,,,,,,,,,,,,,,"elisa",,,,,,
"BRAC5508.1g","food_deprivation",314,,,,,,,,,,,,,,,"elisa",,,,,,
"BRAC5504.1k","food_deprivation",313,,,,,,,,,,,,,,,"elisa",,,,,,
"BRAC5302.3j","food_deprivation",315,,,,,,,,,,,,,,,"elisa",,,,,,
"BRAC5504.1l","food_deprivation",312,,,,,,,,,,,,,,,"elisa",,,,,,
"BRAC5504.1h","food_deprivation",353,,,,,,,,,,,,,,,"elisa",,,,,,
"BRAC5510.1d","food_deprivation",352,,,,,,,,,,,,,,,"elisa",,,,,,
"BRAC5504.1i","food_deprivation",347,,,,,,,,,,,,,,,"elisa",,,,,,
"BRAC5302.3i","food_deprivation",337,,,,,,,,,,,,,,,"elisa",,,,,,
"BRZZ180.4b","water_deprivation",315,"M","Parental+",308,,,"Agg-",,"Parental+",,"build a nest around the pups",,,,,"pup",,,,1,,"18/12/19"
"BRZZ136.4c","water_deprivation",346,"E","Parental+",120,"retrieve both pups",,"Agg-",,"Parental+",100,,,,,,"pup",,,,2,"all_stressor_2h(20)","05/03/20"
"BRZZ136.4e","water_deprivation",346,"E","Parental+",59,"retrieve both pups",,"Agg-",,"Parental+",551,,,,,,"pup",,,,2,"all_stressor_2h(9)","05/03/20"
"BRZZ371.2f","water_deprivation",344,"E","Parental-",,,,"Agg-",,"Parental+",,"build a nest around the pups",,,,,"pup",,,,2,"all_stressor_2h(16)","05/03/20"
"BRZZ371.2e","water_deprivation",344,"P","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",,"build a nest around the pups",,,,,"pup",,,,2,"all_stressor_2h(16)","05/03/20"
"BRZZ260.4e","water_deprivation",348,"M","Parental-",,,,"Agg-",,"Parental-",,,,,,,"pup",,,,1,,"11/03/20"
"BRZZ169.6g","water_deprivation",348,"E","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",,"build a nest around the pups",,,,,"pup",,,,1,,"11/03/20"
"BRZZ136.4f ","water_deprivation",345,"P","Parental+",338,"retrieve both pups",,"Agg-",,"Parental+",413,,,,,,"pup",,,,1,,"11/03/20"
"BRZZ371.2h","water_deprivation",345,"E","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",,"build a nest around the pups",,,,,"pup",,,,2,"all_stressor_2h(9)","11/03/20"
"BRAC4924.6d","water_deprivation",310,"P","Parental-",,,,"Agg-",,"Parental-",,"more parental than state_before",,,,,"pup",,,,1,,"19/11/20"
"BRAC4908.4g","water_deprivation",310,"E","Parental-",,,,"Agg-",,"Parental-",,,,,,,"pup",,,,1,,"19/11/20"
"BRAC4908.4h","water_deprivation",310,"D","Parental-",,,,"Agg-",,"Parental-",,,,,,,"pup",,,,1,,"19/11/20"
"BRAC4924.6c","water_deprivation",343,"M","Parental-",,"retrieve both but not parental",,"Agg-",,"Parental+",710,"retrieve both pups",,,,,"pup",,,,1,,"19/11/20"
"JKAM3.2e","light_cycle_disturbed",338,"E","Parental+",15,,,"Agg-",,"Parental+",34,,,,,,"pup",,,,1,,"05/12/19"
"JKAM2.2g","light_cycle_disturbed",345,"M","Parental+",282,,,"Agg-",,"Parental+",,"build a nest around the pups",,,,,"pup",,,,1,,"06/12/19"
"JKAM2.2d","light_cycle_disturbed",345,"D","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",209,,,,,,"pup",,,,1,,"06/12/19"
"BRZZ329.2c","light_cycle_disturbed",354,"P","Parental+",171,"retrieve both pups",,"Agg-",,"Parental+",88,"retrieve both pups",,,,,"pup",,,,1,,"07/12/19"
"BRZZ154.3f","light_cycle_disturbed",354,"D","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",535,"retrieve both pups",,,,,"pup",,,,1,,"07/12/19"
"BRZZ329.2d","light_cycle_disturbed",341,"P","Parental+",97,"retrieve both pups",,"Agg-",,"Parental+",56,"retrieve both pups",,,,,"pup",,,,1,,"07/12/19"
"BRZZ144.4i","light_cycle_disturbed",341,"M","Parental+",426,"first retrieval not completely to the nest, retrieve both pups",,"Agg-",,"Parental+",218,"retrieve both pups",,,,,"pup",,,,1,,"07/12/19"
"BRZZ101.5b","light_cycle_disturbed",339,"D","Parental-",,,,"Agg-",,"Parental+",188,"retrieve both pups",,,,,"pup",,,,1,,"16/12/19"
"BRZZ101.5c","light_cycle_disturbed",339,"D","Parental+",263,"retrieve both pups",,"Agg-",,"Parental+",,"build a nest around the pups",,,,,"pup",,,,1,,"16/12/19"
"BRZZ260.2g","light_cycle_disturbed",405,"P-E","Parental+",101,"retrieve both pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"16/12/19"
"BRZZ154.3e","light_cycle_disturbed",405,"M","Parental-",,"retrieve but little parenting time",,"Agg-",,"Parental+",,"build a nest around the pups",,,,,"pup",,,,1,,"16/12/19"
"BRZZ109.6e","novel_env",,"E",,,,,"Agg-",,,,,,,,,"pup",,,,1,,"29/12/19"
"BRZZ109.6c","novel_env",,"D",,,,,"Agg-",,,,,,,,,"pup",,,,1,,"29/12/19"
"BRZZ374.3f","novel_env",347,,"Parental-",,,,"Agg-",,"Parental-",,,,,,,"pup",,,,1,,"20/03/20"
"BRZZ410.4g","novel_env",347,,"Parental-",,"only one pups was put into the cage",,"Agg-",,"Parental-",,"only one pup was put into the cage",,,,,"pup",,,,1,,"20/03/20"
"BRZZ410.4f","novel_env",338,,"Parental+",394,"retrieve both pups ",,"Agg-",,"Parental-",,,,,,,"pup",,,,1,,"20/03/20"
"BRZZ374.3h","novel_env",338,,"Parental-",,"only one pups was put into the cage",,"Agg-",,"Parental+",,"only one pup was put into the cage",,,,,"pup",,,,1,,"20/03/20"
"BRZZ374.3i","novel_env",349,,"Parental-",,,,"Agg-",,"Parental-",,,,,,,"pup",,,,1,,"20/03/20"
"BRZZ374.3g","novel_env",349,,"Parental+",498,"retrieve both pups",,"Agg-",,"Parental-",,"only crouch one pup",,,,,"pup",,,,1,,"20/03/20"
"BRZZ410.4e","novel_env",346,,"Parental-",,,,"Agg-",,"Parental-",,"some really rigorous sniffing",,,,,"pup",,,,1,,"20/03/20"
"BRZZ410.4h","novel_env",346,,"Parental+",502,,,"Agg-",,"Parental-",,,,,,,"pup",,,,1,,"20/03/20"
"BRZZ109.6e","all_stressor_plus_food",369,"E","Parental-",,,,"Agg-",,"Parental-",,,,,,,"pup",,,,1,,"29/12/19"
"BRZZ109.6c","all_stressor_plus_food",400,"D","Parental+",86,"retrieve both pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"29/12/19"
"BRZZ132.5g","all_stressor_plus_food",369,"D","Parental-",,"nest building but no other parental acts ",,"Agg-",,"Parental+",,,,,,,"pup",,,,2,"food_deprivation(7)","29/12/19"
"BRZZ200.5f","all_stressor_plus_food",344,"M","Parental+",137,"retrieve both pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,2,"food_deprivation(9)","30/12/19"
"JKAM2.2e","all_stressor_plus_food",344,"D","Parental+",148,"retrieve both pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,2,,"30/12/19"
"BRZZ200.5e","all_stressor_plus_food",307,"D","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,2,"food_deprivation(10)","31/12/19"
"BRZZ260.2h","all_stressor_plus_food",367,"E","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,2,"all_stressor_5h(7)","02/01/20"
"BRZZ132.5f","all_stressor_plus_food",367,"D","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,2,"all_stressor_5h(7)","02/01/20"
"BRAC4857.7h","all_stressor_plus_food",298,"D","Parental-",,,,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"11/11/20"
"BRAC5178.2h","all_stressor_plus_food",298,"P","Parental+",385,"retrieve both pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"11/11/20"
"BRAC4857.7k","all_stressor_plus_food",300,"M","Parental+",121,"retrieve both pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"11/11/20"
"BRAC4857.7i","all_stressor_plus_food",300,"M","Parental+",299,"retrieve both pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"11/11/20"
"BRAC5163.3g","all_stressor_plus_food",315,"E","Parental+",,"build a nest around the pups",,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"11/11/20"
"BRAC4673.7b","all_stressor_plus_food",,"M","Parental-",,,,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"11/11/20"
"BRAC5163.3f","all_stressor_plus_food",303,"M","Parental-",,,,"Agg-",,"Parental+",,,,,,,"pup",,,,1,,"11/11/20"
